drugbank_id,drug_name,food_interaction_text,protein_type,protein_name,gene_name,actions
DB00022,Peginterferon alfa-2b,Limit caffeine intake. Peginterferon alfa-2b can increase the serum levels of caffeine by inhibiting its metabolism through the CYP1A2 pathway.,target,Interferon alpha-2,IFNA2,modulator
DB00029,Anistreplase,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",target,Plasminogen,PLG,activator
DB00029,Anistreplase,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",target,Fibrinogen alpha chain,FGA,
DB00029,Anistreplase,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",target,Plasminogen activator inhibitor 1,SERPINE1,
DB00030,Insulin human,Avoid alcohol. Alcohol may impair blood glucose control.,enzyme,Insulin-degrading enzyme,IDE,"substrate, cleavage"
DB00030,Insulin human,Avoid alcohol. Alcohol may impair blood glucose control.,enzyme,Neuroendocrine convertase 2,PCSK2,activator
DB00030,Insulin human,Avoid alcohol. Alcohol may impair blood glucose control.,enzyme,Neuroendocrine convertase 1,PCSK1,activator
DB00030,Insulin human,Avoid alcohol. Alcohol may impair blood glucose control.,enzyme,Cytochrome P450 1A2,CYP1A2,inducer
DB00030,Insulin human,Avoid alcohol. Alcohol may impair blood glucose control.,target,Insulin receptor,INSR,agonist
DB00030,Insulin human,Avoid alcohol. Alcohol may impair blood glucose control.,target,Insulin-like growth factor 1 receptor,IGF1R,activator
DB00030,Insulin human,Avoid alcohol. Alcohol may impair blood glucose control.,target,Carboxypeptidase E,CPE,"modulator, product of"
DB00030,Insulin human,Avoid alcohol. Alcohol may impair blood glucose control.,target,CCN family member 3,CCN3,downregulator
DB00030,Insulin human,Avoid alcohol. Alcohol may impair blood glucose control.,target,Low-density lipoprotein receptor-related protein 2,LRP2,substrate
DB00030,Insulin human,Avoid alcohol. Alcohol may impair blood glucose control.,target,Insulin-like growth factor-binding protein 7,IGFBP7,"inhibitor, binder"
DB00031,Tenecteplase,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",target,Plasminogen,PLG,activator
DB00033,Interferon gamma-1b,"Avoid excessive or chronic alcohol consumption. Interferon gamma-1b may cause fatigue, drowsiness, and confusion. These effects may be exacerbated by alcohol consumption.",enzyme,Cytochrome P450 1A2,CYP1A2,inhibitor
DB00033,Interferon gamma-1b,"Avoid excessive or chronic alcohol consumption. Interferon gamma-1b may cause fatigue, drowsiness, and confusion. These effects may be exacerbated by alcohol consumption.",target,Interferon gamma receptor 1,IFNGR1,binder
DB00033,Interferon gamma-1b,"Avoid excessive or chronic alcohol consumption. Interferon gamma-1b may cause fatigue, drowsiness, and confusion. These effects may be exacerbated by alcohol consumption.",target,Interferon gamma receptor 2,IFNGR2,binder
DB00034,Interferon alfa-2a,Avoid alcohol.,enzyme,Cytochrome P450 1A2,CYP1A2,inhibitor
DB00034,Interferon alfa-2a,Avoid alcohol.,target,Interferon alpha/beta receptor 1,IFNAR1,
DB00034,Interferon alfa-2a,Avoid alcohol.,target,Interferon alpha/beta receptor 2,IFNAR2,
DB00054,Abciximab,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Additive antiplatelet activity may increase the risk of bleeding. Examples include ginseng, ginkgo, ginger, and garlic.",target,Integrin beta-3,ITGB3,antagonist
DB00054,Abciximab,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Additive antiplatelet activity may increase the risk of bleeding. Examples include ginseng, ginkgo, ginger, and garlic.",target,Integrin alpha-IIb,ITGA2B,antagonist
DB00054,Abciximab,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Additive antiplatelet activity may increase the risk of bleeding. Examples include ginseng, ginkgo, ginger, and garlic.",target,Low affinity immunoglobulin gamma Fc region receptor II-a,FCGR2A,
DB00054,Abciximab,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Additive antiplatelet activity may increase the risk of bleeding. Examples include ginseng, ginkgo, ginger, and garlic.",target,Low affinity immunoglobulin gamma Fc region receptor II-b,FCGR2B,
DB00054,Abciximab,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Additive antiplatelet activity may increase the risk of bleeding. Examples include ginseng, ginkgo, ginger, and garlic.",target,Vitronectin,VTN,
DB00055,Drotrecogin alfa,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",target,Coagulation factor VIII,F8,inhibitor
DB00055,Drotrecogin alfa,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",target,Coagulation factor V,F5,inhibitor
DB00055,Drotrecogin alfa,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",target,Plasminogen activator inhibitor 1,SERPINE1,
DB00055,Drotrecogin alfa,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",target,Thrombomodulin,THBD,
DB00055,Drotrecogin alfa,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",target,Vitamin K-dependent protein S,PROS1,
DB00055,Drotrecogin alfa,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",target,Prothrombin,F2,
DB00055,Drotrecogin alfa,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",target,Platelet factor 4,PF4,
DB00055,Drotrecogin alfa,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",target,Plasma serine protease inhibitor,SERPINA5,
DB00055,Drotrecogin alfa,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",target,Serpin B6,SERPINB6,
DB00055,Drotrecogin alfa,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",target,Endothelial protein C receptor,PROCR,
DB00059,Pegaspargase,"Avoid excessive or chronic alcohol consumption. Alcohol and pegaspargase can both cause hepatoxicity, therefore if they are used together they may have additive hepatoxic effects.",carrier,Thyroxine-binding globulin,SERPINA7,inhibitor
DB00060,Interferon beta-1a,"Avoid excessive or chronic alcohol consumption. Alcohol and interferon beta-1a can both cause hepatoxicity, therefore if they are used together they may have additive hepatoxic effects.",enzyme,Cytochrome P450 1A2,CYP1A2,inhibitor
DB00060,Interferon beta-1a,"Avoid excessive or chronic alcohol consumption. Alcohol and interferon beta-1a can both cause hepatoxicity, therefore if they are used together they may have additive hepatoxic effects.",target,Interferon alpha/beta receptor 1,IFNAR1,agonist
DB00060,Interferon beta-1a,"Avoid excessive or chronic alcohol consumption. Alcohol and interferon beta-1a can both cause hepatoxicity, therefore if they are used together they may have additive hepatoxic effects.",target,Interferon alpha/beta receptor 2,IFNAR2,agonist
DB00060,Interferon beta-1a,"Avoid excessive or chronic alcohol consumption. Alcohol and interferon beta-1a can both cause hepatoxicity, therefore if they are used together they may have additive hepatoxic effects.",target,Interferon beta,IFNB1,modulator
DB00063,Eptifibatide,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. The use of anticoagulant/antiplatelet herbs with eptifibatide may increase the risk of bleeding. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",target,Integrin beta-3,ITGB3,modulator
DB00063,Eptifibatide,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. The use of anticoagulant/antiplatelet herbs with eptifibatide may increase the risk of bleeding. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",target,Integrin alpha-IIb,ITGA2B,modulator
DB00063,Eptifibatide,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. The use of anticoagulant/antiplatelet herbs with eptifibatide may increase the risk of bleeding. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",target,Voltage-dependent calcium channel subunit alpha-2/delta-1,CACNA2D1,antagonist
DB00068,Interferon beta-1b,"Avoid excessive or chronic alcohol consumption. Alcohol and Interferon beta-1 can both cause hepatoxicity, therefore if they are used together they may have additive hepatoxic effects.",enzyme,Cytochrome P450 1A2,CYP1A2,inhibitor
DB00068,Interferon beta-1b,"Avoid excessive or chronic alcohol consumption. Alcohol and Interferon beta-1 can both cause hepatoxicity, therefore if they are used together they may have additive hepatoxic effects.",target,Interferon alpha/beta receptor 1,IFNAR1,agonist
DB00068,Interferon beta-1b,"Avoid excessive or chronic alcohol consumption. Alcohol and Interferon beta-1 can both cause hepatoxicity, therefore if they are used together they may have additive hepatoxic effects.",target,Interferon alpha/beta receptor 2,IFNAR2,agonist
DB00071,Insulin pork,"Avoid excessive or chronic alcohol consumption. Drinking more than two standard drinks per day in women, or more than 3 standard drinks per day in men, can reduce a patient's insulin requirements, and therefore increase the risk of hypoglycemia if the insulin dosing is not adjusted.",enzyme,Cytochrome P450 1A2,CYP1A2,inducer
DB00071,Insulin pork,"Avoid excessive or chronic alcohol consumption. Drinking more than two standard drinks per day in women, or more than 3 standard drinks per day in men, can reduce a patient's insulin requirements, and therefore increase the risk of hypoglycemia if the insulin dosing is not adjusted.",enzyme,Insulin-degrading enzyme,IDE,substrate
DB00071,Insulin pork,"Avoid excessive or chronic alcohol consumption. Drinking more than two standard drinks per day in women, or more than 3 standard drinks per day in men, can reduce a patient's insulin requirements, and therefore increase the risk of hypoglycemia if the insulin dosing is not adjusted.",target,Insulin receptor,INSR,binder
DB00071,Insulin pork,"Avoid excessive or chronic alcohol consumption. Drinking more than two standard drinks per day in women, or more than 3 standard drinks per day in men, can reduce a patient's insulin requirements, and therefore increase the risk of hypoglycemia if the insulin dosing is not adjusted.",target,Insulin-like growth factor 1 receptor,IGF1R,
DB00078,Ibritumomab tiuxetan,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Individuals taking these herbs/supplements while taking ibritumomab tiuxetan should be monitored for thrombocytopenia more frequently. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",target,B-lymphocyte antigen CD20,MS4A1,"antibody, regulator"
DB00086,Streptokinase,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",enzyme,Cytosolic phospholipase A2,PLA2G4A,inducer
DB00086,Streptokinase,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",target,Plasminogen,PLG,activator
DB00086,Streptokinase,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",target,Proteinase-activated receptor 1,F2R,activator
DB00091,Cyclosporine,Avoid grapefruit products.,enzyme,Cytochrome P450 2C19,CYP2C19,inhibitor
DB00091,Cyclosporine,Avoid grapefruit products.,enzyme,Cytochrome P450 2D6,CYP2D6,inhibitor
DB00091,Cyclosporine,Avoid grapefruit products.,enzyme,Cytochrome P450 3A5,CYP3A5,substrate
DB00091,Cyclosporine,Avoid grapefruit products.,enzyme,Cytochrome P450 3A4,CYP3A4,"substrate, inhibitor"
DB00091,Cyclosporine,Avoid grapefruit products.,target,Guided entry of tail-anchored proteins factor CAMLG,CAMLG,binder
DB00091,Cyclosporine,Avoid grapefruit products.,target,Calcineurin subunit B type 2,PPP3R2,inhibitor
DB00091,Cyclosporine,Avoid grapefruit products.,target,Peptidyl-prolyl cis-trans isomerase A,PPIA,"inhibitor, binder"
DB00091,Cyclosporine,Avoid grapefruit products.,target,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",PPIF,binder
DB00091,Cyclosporine,Avoid grapefruit products.,target,Protein phosphatase 3 catalytic subunit alpha,PPP3CA,inhibitor
DB00091,Cyclosporine,Avoid grapefruit products.,transporter,ATP-dependent translocase ABCB1,ABCB1,"substrate, inhibitor"
DB00091,Cyclosporine,Avoid grapefruit products.,transporter,Bile salt export pump,ABCB11,"substrate, inhibitor"
DB00091,Cyclosporine,Avoid grapefruit products.,transporter,Ileal sodium/bile acid cotransporter,SLC10A2,inhibitor
DB00091,Cyclosporine,Avoid grapefruit products.,transporter,Hepatic sodium/bile acid cotransporter,SLC10A1,inhibitor
DB00091,Cyclosporine,Avoid grapefruit products.,transporter,Solute carrier family 22 member 6,SLC22A6,"substrate, inhibitor"
DB00091,Cyclosporine,Avoid grapefruit products.,transporter,ATP-binding cassette sub-family C member 10,ABCC10,"substrate, inhibitor"
DB00091,Cyclosporine,Avoid grapefruit products.,transporter,ATP-binding cassette sub-family C member 2,ABCC2,inhibitor
DB00091,Cyclosporine,Avoid grapefruit products.,transporter,Broad substrate specificity ATP-binding cassette transporter ABCG2,ABCG2,inhibitor
DB00091,Cyclosporine,Avoid grapefruit products.,transporter,Solute carrier organic anion transporter family member 1B1,SLCO1B1,"substrate, inhibitor"
DB00091,Cyclosporine,Avoid grapefruit products.,transporter,Solute carrier organic anion transporter family member 1B3,SLCO1B3,inhibitor
DB00104,Octreotide,Take on an empty stomach. The oral capsules should be taken on an empty stomach. Food reduces oral octreotide absorption by 90%.,enzyme,Myeloperoxidase,MPO,inhibitor
DB00104,Octreotide,Take on an empty stomach. The oral capsules should be taken on an empty stomach. Food reduces oral octreotide absorption by 90%.,enzyme,Cytochrome P450 3A4,CYP3A4,inhibitor
DB00104,Octreotide,Take on an empty stomach. The oral capsules should be taken on an empty stomach. Food reduces oral octreotide absorption by 90%.,target,Somatostatin receptor type 2,SSTR2,binder
DB00104,Octreotide,Take on an empty stomach. The oral capsules should be taken on an empty stomach. Food reduces oral octreotide absorption by 90%.,transporter,ATP-dependent translocase ABCB1,ABCB1,substrate
DB00104,Octreotide,Take on an empty stomach. The oral capsules should be taken on an empty stomach. Food reduces oral octreotide absorption by 90%.,transporter,ATP-binding cassette sub-family C member 2,ABCC2,"substrate, inhibitor"
DB00104,Octreotide,Take on an empty stomach. The oral capsules should be taken on an empty stomach. Food reduces oral octreotide absorption by 90%.,carrier,Albumin,ALB,binder
DB00105,Interferon alfa-2b,Avoid alcohol.,enzyme,Cytochrome P450 1A2,CYP1A2,inhibitor
DB00105,Interferon alfa-2b,Avoid alcohol.,target,Interferon alpha/beta receptor 2,IFNAR2,binder
DB00105,Interferon alfa-2b,Avoid alcohol.,target,Interferon alpha/beta receptor 1,IFNAR1,binder
DB00105,Interferon alfa-2b,Avoid alcohol.,target,Interferon alpha-2,IFNA2,modulator
DB00115,Cyanocobalamin,Take with or without food. Recommendations vary from product to product - consult individual product monographs for additional information.,enzyme,Corrinoid adenosyltransferase MMAB,MMAB,substrate
DB00115,Cyanocobalamin,Take with or without food. Recommendations vary from product to product - consult individual product monographs for additional information.,enzyme,Bifunctional adenosylcobalamin biosynthesis protein CobU,cobU,product of
DB00115,Cyanocobalamin,Take with or without food. Recommendations vary from product to product - consult individual product monographs for additional information.,target,Methionine synthase,MTR,cofactor
DB00115,Cyanocobalamin,Take with or without food. Recommendations vary from product to product - consult individual product monographs for additional information.,target,"Methylmalonyl-CoA mutase, mitochondrial",MMUT,cofactor
DB00115,Cyanocobalamin,Take with or without food. Recommendations vary from product to product - consult individual product monographs for additional information.,target,Methionine synthase reductase,MTRR,cofactor
DB00115,Cyanocobalamin,Take with or without food. Recommendations vary from product to product - consult individual product monographs for additional information.,target,"Methylmalonic aciduria type A protein, mitochondrial",MMAA,binder
DB00115,Cyanocobalamin,Take with or without food. Recommendations vary from product to product - consult individual product monographs for additional information.,target,Cyanocobalamin reductase / alkylcobalamin dealkylase,MMACHC,cofactor
DB00115,Cyanocobalamin,Take with or without food. Recommendations vary from product to product - consult individual product monographs for additional information.,target,Methylenetetrahydrofolate reductase (NADPH),MTHFR,cofactor
DB00115,Cyanocobalamin,Take with or without food. Recommendations vary from product to product - consult individual product monographs for additional information.,transporter,Protein amnionless,AMN,substrate
DB00115,Cyanocobalamin,Take with or without food. Recommendations vary from product to product - consult individual product monographs for additional information.,transporter,Transcobalamin-1,TCN1,substrate
DB00115,Cyanocobalamin,Take with or without food. Recommendations vary from product to product - consult individual product monographs for additional information.,transporter,Transcobalamin-2,TCN2,substrate
DB00115,Cyanocobalamin,Take with or without food. Recommendations vary from product to product - consult individual product monographs for additional information.,transporter,Cobalamin binding intrinsic factor,CBLIF,substrate
DB00115,Cyanocobalamin,Take with or without food. Recommendations vary from product to product - consult individual product monographs for additional information.,transporter,Cubilin,CUBN,substrate
DB00115,Cyanocobalamin,Take with or without food. Recommendations vary from product to product - consult individual product monographs for additional information.,transporter,Low-density lipoprotein receptor-related protein 2,LRP2,
DB00115,Cyanocobalamin,Take with or without food. Recommendations vary from product to product - consult individual product monographs for additional information.,transporter,Multidrug resistance-associated protein 1,ABCC1,
DB00121,Biotin,"Avoid dietary avidin (a glycoprotein in uncooked egg-whites). Avidin binds with biotin in the gastrointestinal tract preventing biotin absorption. Avidin is denatured by cooking; therefore, cooked egg whites do not reduce biotin absorption.",enzyme,Cytochrome P450 1B1,CYP1B1,inducer
DB00121,Biotin,"Avoid dietary avidin (a glycoprotein in uncooked egg-whites). Avidin binds with biotin in the gastrointestinal tract preventing biotin absorption. Avidin is denatured by cooking; therefore, cooked egg whites do not reduce biotin absorption.",target,"Propionyl-CoA carboxylase beta chain, mitochondrial",PCCB,cofactor
DB00121,Biotin,"Avoid dietary avidin (a glycoprotein in uncooked egg-whites). Avidin binds with biotin in the gastrointestinal tract preventing biotin absorption. Avidin is denatured by cooking; therefore, cooked egg whites do not reduce biotin absorption.",target,Biotin--protein ligase,HLCS,substrate
DB00121,Biotin,"Avoid dietary avidin (a glycoprotein in uncooked egg-whites). Avidin binds with biotin in the gastrointestinal tract preventing biotin absorption. Avidin is denatured by cooking; therefore, cooked egg whites do not reduce biotin absorption.",target,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",MCCC2,cofactor
DB00121,Biotin,"Avoid dietary avidin (a glycoprotein in uncooked egg-whites). Avidin binds with biotin in the gastrointestinal tract preventing biotin absorption. Avidin is denatured by cooking; therefore, cooked egg whites do not reduce biotin absorption.",target,Acetyl-CoA carboxylase 2,ACACB,cofactor
DB00121,Biotin,"Avoid dietary avidin (a glycoprotein in uncooked egg-whites). Avidin binds with biotin in the gastrointestinal tract preventing biotin absorption. Avidin is denatured by cooking; therefore, cooked egg whites do not reduce biotin absorption.",target,"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial",MCCC1,cofactor
DB00121,Biotin,"Avoid dietary avidin (a glycoprotein in uncooked egg-whites). Avidin binds with biotin in the gastrointestinal tract preventing biotin absorption. Avidin is denatured by cooking; therefore, cooked egg whites do not reduce biotin absorption.",target,"Pyruvate carboxylase, mitochondrial",PC,cofactor
DB00121,Biotin,"Avoid dietary avidin (a glycoprotein in uncooked egg-whites). Avidin binds with biotin in the gastrointestinal tract preventing biotin absorption. Avidin is denatured by cooking; therefore, cooked egg whites do not reduce biotin absorption.",target,"Propionyl-CoA carboxylase alpha chain, mitochondrial",PCCA,cofactor
DB00121,Biotin,"Avoid dietary avidin (a glycoprotein in uncooked egg-whites). Avidin binds with biotin in the gastrointestinal tract preventing biotin absorption. Avidin is denatured by cooking; therefore, cooked egg whites do not reduce biotin absorption.",target,Acetyl-CoA carboxylase 1,ACACA,cofactor
DB00121,Biotin,"Avoid dietary avidin (a glycoprotein in uncooked egg-whites). Avidin binds with biotin in the gastrointestinal tract preventing biotin absorption. Avidin is denatured by cooking; therefore, cooked egg whites do not reduce biotin absorption.",transporter,Sodium-dependent multivitamin transporter,SLC5A6,substrate
DB00121,Biotin,"Avoid dietary avidin (a glycoprotein in uncooked egg-whites). Avidin binds with biotin in the gastrointestinal tract preventing biotin absorption. Avidin is denatured by cooking; therefore, cooked egg whites do not reduce biotin absorption.",transporter,Sodium-coupled monocarboxylate transporter 1,SLC5A8,substrate
DB00126,Ascorbic acid,"Avoid multivalent ions. Do not infuse with elemental compounds that can be reduced, such as copper.",enzyme,"Thioredoxin reductase 1, cytoplasmic",TXNRD1,substrate
DB00126,Ascorbic acid,"Avoid multivalent ions. Do not infuse with elemental compounds that can be reduced, such as copper.",target,Solute carrier family 23 member 1,SLC23A1,modulator
DB00126,Ascorbic acid,"Avoid multivalent ions. Do not infuse with elemental compounds that can be reduced, such as copper.",target,Solute carrier family 23 member 2,SLC23A2,modulator
DB00126,Ascorbic acid,"Avoid multivalent ions. Do not infuse with elemental compounds that can be reduced, such as copper.",target,Hyaluronate lyase,,inhibitor
DB00126,Ascorbic acid,"Avoid multivalent ions. Do not infuse with elemental compounds that can be reduced, such as copper.",target,Xylose isomerase,xylA,substrate
DB00126,Ascorbic acid,"Avoid multivalent ions. Do not infuse with elemental compounds that can be reduced, such as copper.",target,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",PLOD2,cofactor
