drugbank_id,drug_name,food_interaction_text
DB00121,Biotin,"Avoid dietary avidin (a glycoprotein in uncooked egg-whites). Avidin binds with biotin in the gastrointestinal tract preventing biotin absorption. Avidin is denatured by cooking; therefore, cooked egg whites do not reduce biotin absorption."
DB00126,Ascorbic acid,"Avoid multivalent ions. Do not infuse with elemental compounds that can be reduced, such as copper."
DB00130,L-Glutamine,"Take with food. Endari (L-glutamine) oral powder should be mixed with 8oz of water or 4-6 oz of food at room temperature or colder, then consumed."
DB00134,Methionine,Take with food.
DB00137,Lutein,Take with foods containing vitamin C. Taking lutein with vitamin C may increase the rate of absorption of lutein. Taking lutein with carotenoids or naringenin may reduce lutein absorption.
DB00146,Calcifediol,"Take with or without food. A high-fat, high-calorie meal may increase the AUC and Cmax of calcifediol by up to 3.5 and 5 fold, respectively."
DB00163,Vitamin E,Take with or without food. High-fat foods may increase absorption of Vitamin E.
DB00175,Pravastatin,Take with or without food. Lipid lowering effects are similar in the fasting and fed state.
DB00176,Fluvoxamine,Avoid alcohol.
DB00176,Fluvoxamine,Avoid grapefruit products.
DB00176,Fluvoxamine,Limit caffeine intake.
DB00176,Fluvoxamine,Take with or without food. The absorption is unaffected by food.
DB00177,Valsartan,"Take with or without food. Co-administration with food slightly alters pharmacokinetics, but not to a clinically significant extent."
DB00178,Ramipril,Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.
DB00178,Ramipril,Take with or without food. The absorption is unaffected by food.
DB00181,Baclofen,Avoid alcohol.
DB00181,Baclofen,Take with food. Take with food or milk to reduce gastric irritation.
DB00182,Amphetamine,Take with or without food.
DB00184,Nicotine,"Take separate from meals. For nicotine gum, lozenges, and oral sprays, avoid eating and drinking for 15 minutes before and during its use."
DB00186,Lorazepam,Avoid alcohol.
DB00186,Lorazepam,Limit caffeine intake.
DB00186,Lorazepam,Take with food.
DB00188,Bortezomib,"Avoid St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce the serum concentration of bortezomib."
DB00188,Bortezomib,"Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of bortezomib."
DB00188,Bortezomib,"Limit foods and supplements high in flavonoids. Flavonoids may interfere with the therapeutic action of this drug. Foods high in flavonoids include green vegetables, fruits, and green tea."
DB00188,Bortezomib,Limit foods and supplements high in vitamin C. Vitamin C may interfere with the therapeutic action of this drug. Foods high in vitamin C include citrus fruits and beverages.
DB00189,Ethchlorvynol,Avoid alcohol.
DB00189,Ethchlorvynol,Take with food. Food reduces irritation.
DB00191,Phentermine,Limit caffeine intake.
DB00191,Phentermine,Take with or without food. The absorption is unaffected by food.
DB00193,Tramadol,Avoid alcohol. Co-administration of alcohol may potentiate the CNS effects of tramadol.
DB00193,Tramadol,Take with or without food. Co-administration of food does not affect pharmacokinetics.
DB00195,Betaxolol,No food interactions are expected.
DB00196,Fluconazole,Take with or without food. The absorption is unaffected by food.
DB00198,Oseltamivir,Take with or without food. Co-administration with food does not affect pharmacokinetics but may enhance tolerability.
DB00199,Erythromycin,Avoid grapefruit products.
DB00199,Erythromycin,"Take on an empty stomach. Allow approximately 30 minutes to 2 hours before meals, as this increases erythromycin absorption."
DB00199,Erythromycin,Take with a full glass of water.
DB00203,Sildenafil,Take with or without food. If taken with a high-fat meal the medicine may take a little longer to start working.
DB00204,Dofetilide,"Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of dofetilide."
DB00204,Dofetilide,"Exercise caution with St. John's Wort. Dofetilide is partially metabolized by CYP3A4, and St. John's Wort is a CYP3A4 inducer, coadministration may reduce dofetilide serum levels."
DB00204,Dofetilide,Take with or without food.
DB00205,Pyrimethamine,Administer folic acid supplement. Folic acid need is increased.
DB00205,Pyrimethamine,Take with food. Food reduces irritation.
DB00206,Reserpine,Avoid alcohol.
DB00206,Reserpine,Take with food. Food reduces irritation.
DB00207,Azithromycin,Take on an empty stomach. Take at least 1 hour before or 2 hours after meals.
DB00208,Ticlopidine,Take with a high fat meal. High fat meals will increase ticlopidine absorption.
DB00208,Ticlopidine,Take with food. Food can help ticlopidine-induced stomach upset.
DB00209,Trospium,Take on an empty stomach. Take at least 1 hour before food as the Cmax and AUC of trospium are reduced by 70-80% when taken with a high fat meal.
DB00211,Midodrine,Take with or without food. The absorption is unaffected by food.
DB00213,Pantoprazole,Take with or without food. The absorption is unaffected by food.
DB00214,Torasemide,Take with or without food. Food delays the Cmax by 30 minutes but does not impact efficacy.
DB00215,Citalopram,Avoid alcohol.
DB00215,Citalopram,Avoid St. John's Wort. Co-administration of St. John's Wort with citalopram can increase the risk of serotonin syndrome.
DB00215,Citalopram,Take with or without food. The absorption is unaffected by food.
DB00216,Eletriptan,"Take with or without food. High-fat meals increase exposure, but not to a clinically relevant extent."
DB00218,Moxifloxacin,Drink plenty of fluids.
DB00218,Moxifloxacin,Take with or without food.
DB00220,Nelfinavir,Take with food. Food increases exposure and decreases pharmacokinetic variability.
DB00222,Glimepiride,Avoid alcohol. Acute and chronic alcohol intake may unpredictably affect the glucose-lowering action of glimepiride.
DB00222,Glimepiride,Take with food. The manufacturer recommends administration with the first meal of the day.
DB00224,Indinavir,Avoid excessive or chronic alcohol consumption.
DB00224,Indinavir,Avoid grapefruit products.
DB00224,Indinavir,Take on an empty stomach. Take at least 1 hour before or 2 hours after meals.
DB00224,Indinavir,Take with a full glass of water.
DB00227,Lovastatin,Avoid grapefruit products. Grapefruit products may increase the risk for lovastatin related adverse effects such as myopathy and rhabdomyolysis.
DB00227,Lovastatin,Take with food. Food increases bioavailability.
DB00230,Pregabalin,Avoid alcohol. Alcohol may increase CNS effects.
DB00230,Pregabalin,"Take with or without food. Food alters drug absorption, but not to a clinically significant extent."
DB00231,Temazepam,Avoid alcohol.
DB00231,Temazepam,Take with or without food.
DB00233,Aminosalicylic acid,Take with or without food. The absorption is unaffected by food.
DB00237,Butabarbital,Avoid alcohol. Concomitant use of alcohol and barbiturates may lead to increased.
DB00238,Nevirapine,Avoid alcohol.
DB00238,Nevirapine,Take with or without food. The absorption is unaffected by food.
DB00241,Butalbital,Avoid alcohol. Profound CNS depression can occur.
DB00242,Cladribine,"Take with or without food. When taken with oral tablets of cladribine, food decreases Cmax and prolongs Tmax, but not to a clinically significant extent."
DB00243,Ranolazine,Avoid grapefruit products.
DB00243,Ranolazine,Take with or without food. The absorption is unaffected by food.
DB00244,Mesalazine,Take with or without food. The absorption is unaffected by food.
DB00245,Benzatropine,Avoid alcohol.
DB00245,Benzatropine,Take with food. Food reduces irritation.
DB00246,Ziprasidone,Avoid alcohol.
DB00246,Ziprasidone,Take with food.
DB00247,Methysergide,Take with food. Food reduces irritation.
DB00248,Cabergoline,"Exercise caution with grapefruit products. Cabergoline is partially metabolized through the CYP3A4 pathway. Therefore coadministration with grapefruit, a CYP3A4 inhibitor, may increase its serum concentration."
DB00248,Cabergoline,"Exercise caution with St. John's Wort. Cabergoline is partially metabolized through the CYP3A4 pathway. Therefore coadministration with St. John's Wort, a CYP3A4 inducer, may reduce its serum concentration."
DB00248,Cabergoline,Take with or without food. Taking cabergoline with food may reduce gastric irritation.
DB00250,Dapsone,Take with or without food. The absorption is unaffected by food.
DB00252,Phenytoin,Avoid alcohol. Alcohol may increase or decrease serum levels of phenytoin.
DB00252,Phenytoin,Take separate from antacids. Take at least 2 hours before or after antacids. Taking this medication with antacids can reduce absorption.
DB00252,Phenytoin,Take with food. Food reduces irritation and increases bioavailability.
DB00254,Doxycycline,"Avoid multivalent ions. The absorption of tetracyclines is reduced when taken with foods, especially those which contain calcium."
DB00254,Doxycycline,"Take with or without food. The absorption of tetracyclines is reduced when taken with foods, but not to a significant extent. If gastric irritation occurs, it is recommended that doxycycline be given with food or milk."
DB00256,Lymecycline,Take with or without food.
DB00258,Calcium acetate,"Take with food. When taken with food, calcium acetate forms an insoluble complex with the phosphorus from food, reducing phosphorus serum concentrations."
DB00260,Cycloserine,"Do not take with or immediately after a high-fat meal. High-fat meals may reduce the rate of absorption; however, the impact on the extent of absorption is unknown."
DB00261,Anagrelide,"Take with or without food. Co-administration with food slightly alters pharmacokinetics, but not to a clinically significant extent."
DB00262,Carmustine,Avoid echinacea.
DB00264,Metoprolol,Avoid alcohol.
DB00264,Metoprolol,Avoid natural licorice.
DB00264,Metoprolol,Take with food.
DB00266,Dicoumarol,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include ginseng, ginkgo, ginger, and garlic."
DB00268,Ropinirole,Take with or without food. May take with food to reduce nausea.
DB00270,Isradipine,Take with or without food.
DB00273,Topiramate,Avoid a ketogenic diet. This type of diet increases the risk of kidney stones.
DB00273,Topiramate,Take with or without food. Food slightly alters absorption but not to any clinically significant extent.
DB00275,Olmesartan,Take with or without food. Food does not affect absorption.
DB00277,Theophylline,"Avoid excessive or chronic alcohol consumption. Ingesting alcohol may reduce the clearance, and therefore increase the serum concentrations of theophylline."
DB00277,Theophylline,Avoid St. John's Wort.
DB00277,Theophylline,Take with or without food. Take consistently with regard to food.
DB00278,Argatroban,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00278,Argatroban,"Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of argatroban; however, the evidence is conflicting."
DB00278,Argatroban,Exercise caution with St. John's Wort.
DB00279,Liothyronine,Take with or without food.
DB00280,Disopyramide,Avoid alcohol.
DB00280,Disopyramide,Take with or without food. The absorption is unaffected by food.
DB00283,Clemastine,Avoid alcohol.
DB00283,Clemastine,Take with food.
DB00284,Acarbose,Take with food. Each dose should be taken with the first bite of a main meal.
DB00285,Venlafaxine,"Avoid alcohol. The safety of using venlafaxine with other CNS-active drugs, including alcohol, has not been evaluated."
DB00285,Venlafaxine,Avoid St. John's Wort. Co-administration of St. John's Wort may lead to additive serotonergic activity and an increased risk of serotonin syndrome.
DB00285,Venlafaxine,Take with food. Co-administration with food helps to alleviate or mitigate gastrointestinal upset.
DB00286,Conjugated estrogens,Take with or without food. Consult individual product monograph for specific instructions.
DB00289,Atomoxetine,Take with or without food.
DB00291,Chlorambucil,"Avoid echinacea. Echinacea should be used with caution, if at all, in patients receiving therapeutic immunosuppressants. Monitor for reduced efficacy of the immunosuppressant during concomitant use."
DB00291,Chlorambucil,Drink plenty of fluids.
DB00291,Chlorambucil,Take on an empty stomach. Co-administration with food decreases bioavailability.
DB00294,Etonogestrel,Administer vitamin supplements.
DB00294,Etonogestrel,Avoid alcohol.
DB00294,Etonogestrel,Limit caffeine intake.
DB00294,Etonogestrel,Take at the same time every day.
DB00294,Etonogestrel,Take with food.
DB00295,Morphine,"Avoid alcohol. Concomitant use may lead to profound sedation, respiratory depression, coma, and death."
DB00295,Morphine,Take with or without food. There is no significant different in the AUC or Cmax of oral extended release tablets when taken with or without food.
DB00300,Tenofovir disoproxil,Take with or without food.
DB00301,Flucloxacillin,Take on an empty stomach.
DB00302,Tranexamic acid,Take with or without food. The co-administration of food does not significantly affect tranexamic acid disposition.
DB00307,Bexarotene,Take with food.
DB00309,Vindesine,"Exercise caution with grapefruit products. Vindesine is metabolized by CYP3A4, and grapefruit inhibits CYP3A4 metabolism, which may increase vindesine serum levels."
DB00309,Vindesine,"Exercise caution with St. John's Wort. Vindesine is metabolized by CYP3A4 and this herb induces CYP3A4 metabolism, which may reduce vindesine serum levels."
DB00310,Chlorthalidone,Take with food. Food may increase bioavailability.
DB00313,Valproic acid,Avoid alcohol.
DB00313,Valproic acid,Avoid milk and dairy products.
DB00313,Valproic acid,Take with food.
DB00315,Zolmitriptan,Take with or without food. Food does not significantly impact the oral bioavalibility of zolmitriptan.
DB00316,Acetaminophen,Avoid alcohol. Alcohol may increase the risk of hepatotoxicity.
DB00316,Acetaminophen,Take with or without food. The absorption is unaffected by food.
DB00317,Gefitinib,"Exercise caution with grapefruit products. Grapefruit is an inhibitor of CYP3A4, the enzyme primarily responsible for metabolizing gefitinib. Coadministration with grapefruit products may decrease gefitinib metabolism and increase plasma concentrations."
DB00317,Gefitinib,Take with or without food.
DB00318,Codeine,Avoid alcohol.
DB00318,Codeine,Take with food. Food reduces irritation.
DB00320,Dihydroergotamine,"Avoid grapefruit products. Grapefruit inhibits the metabolism of dihydroergotamine through the CYP3A4 pathway and, therefore, may increase serum levels of dihydroergotamine. Use caution if co-administering."
DB00321,Amitriptyline,Avoid alcohol.
DB00321,Amitriptyline,Avoid St. John's Wort.
DB00321,Amitriptyline,Limit caffeine intake.
DB00321,Amitriptyline,Take with food. Food reduces irritation.
DB00323,Tolcapone,Take with or without food. There is a 10-20% reduction in oral bioavailability when food is given 1 hour before and 2 hours after tolcapone.
DB00327,Hydromorphone,Avoid alcohol.
DB00327,Hydromorphone,Take with or without food. Food does not significantly affect absorption.
DB00328,Indomethacin,Avoid alcohol. Ingestion of alcohol can increase the risk of GI bleeding.
DB00328,Indomethacin,"Take with or without food. Food has no effect on drug absorption. However, food may decrease the extent of gastrointestinal irritation caused by indomethacin."
DB00330,Ethambutol,Take separate from antacids. Do not take aluminum hydroxide containing antacids for at least 4 hours after ethambutol administration.
DB00330,Ethambutol,Take with food. Food reduces irritation.
DB00331,Metformin,Avoid alcohol.
DB00331,Metformin,Take with food. Food reduces irritation.
DB00333,Methadone,Avoid alcohol.
DB00333,Methadone,Take with or without food. Food does not significantly affect absorption.
DB00334,Olanzapine,Avoid alcohol. Alcohol may potentiate CNS adverse effects and orthostatic hypotension.
DB00334,Olanzapine,Take with or without food. The absorption of olanzapine is unaffected by food.
DB00338,Omeprazole,Take before a meal. Allow 30-60 minutes before a meal.
DB00339,Pyrazinamide,Take with or without food. The absorption is unaffected by food.
DB00341,Cetirizine,Avoid alcohol.
DB00341,Cetirizine,Take with or without food. The absorption is unaffected by food.
DB00342,Terfenadine,"Exercise caution with grapefruit products. Grapefruit is a CYP3A4 inhibitor, and terfenadine is metabolized by CYP3A4. Co-administration may increase terfenadine concentrations and the risk of QT prolongation."
DB00342,Terfenadine,Exercise caution with St. John's Wort. This herb induces CYP3A4 and terfenadine is a substrate of CYP3A4.
DB00343,Diltiazem,Avoid natural licorice. The risk of cardiovascular adverse effects may be increased.
DB00346,Alfuzosin,Take after a meal. Take alfuzosin after the same meal everyday. Do not take on an empty stomach.
DB00347,Trimethadione,Avoid alcohol. The combination of alcohol with trimethadione may make you sleepy or dizzy.
DB00348,Nitisinone,Limit the intake of phenylalanine and tyrosine.
DB00348,Nitisinone,Take separate from meals. Nitisinone capsules should be separated by one hour before or two hours after meals.
DB00348,Nitisinone,Take with or without food. Nitisinone tablets can be taken with or without food but food may prolong the Tmax by six hours.
DB00349,Clobazam,Avoid alcohol. Alcohol increases clobazam absorption by 50%.
DB00349,Clobazam,Take with or without food. The absorption is unaffected by food.
DB00350,Minoxidil,Take with or without food. The absorption is unaffected by food.
DB00351,Megestrol acetate,Take with food.
DB00352,Tioguanine,"Take with or without food. However, food intake may lower tioguanine serum levels."
DB00353,Methylergometrine,"Avoid grapefruit products. Grapefruit inhibits the metabolism of methylergometrine through the CYP3A4 pathway and, therefore, may increase serum levels of methylergometrine. Use caution if co-administering."
DB00356,Chlorzoxazone,Avoid alcohol.
DB00356,Chlorzoxazone,Take with or without food. The absorption is unaffected by food.
DB00357,Aminoglutethimide,Take with or without food. The absorption is unaffected by food.
DB00358,Mefloquine,Avoid alcohol.
DB00358,Mefloquine,Take with a full glass of water.
DB00358,Mefloquine,"Take with food. The presence of food significantly enhances the rate and extent of absorption, leading to about a 40% increase in bioavailability."
DB00360,Sapropterin,Take at the same time every day.
DB00360,Sapropterin,"Take with food. Taking sapropterin with food increases oral absorption. Sapropterin may be dissolved in water, juice, or dispersed in applesauce."
DB00361,Vinorelbine,Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism and may increase the serum levels of vinorelbine.
DB00361,Vinorelbine,Exercise caution with St. John's Wort. This herb induces CYP3A4 metabolism and may reduce the serum levels of vinorelbine.
DB00363,Clozapine,Avoid alcohol. Alcohol is a predisposing risk factor for seizure in combination with clozapine.
DB00363,Clozapine,Exercise caution with St. John's Wort. This herb induces both CYP3A4 and CYP1A2 metabolism and may reduce clozapine serum levels.
DB00363,Clozapine,Limit caffeine intake. Caffeine may reduce clozapine metabolism.
DB00363,Clozapine,Take with or without food. The absorption is unaffected by food.
DB00364,Sucralfate,Take on an empty stomach. Take at least 1 hour before or 2 hours after meals.
DB00364,Sucralfate,Take separate from antacids. Take at least 30 minutes before or after antacids.
DB00365,Grepafloxacin,Avoid caffeine.
DB00365,Grepafloxacin,Drink plenty of fluids.
DB00365,Grepafloxacin,Take with or without food. The absorption is unaffected by food.
DB00366,Doxylamine,Avoid alcohol. Co-administration may increase drowsiness and fall risk.
DB00367,Levonorgestrel,Take at the same time every day.
DB00367,Levonorgestrel,Take with or without food. The effect of food on absorption has not been evaluated.
DB00370,Mirtazapine,Avoid alcohol.
DB00370,Mirtazapine,Take with or without food. Food does not significantly affect absorption.
DB00371,Meprobamate,Avoid alcohol.
DB00371,Meprobamate,Take with or without food. Food does not significantly affect absorption.
DB00372,Thiethylperazine,Avoid excessive or chronic alcohol consumption. Additive CNS depression may occur if alcohol is consumed with thiethylperazine.
DB00374,Treprostinil,Take with food. Taking treprostinil with food increases oral absorption.
DB00375,Colestipol,Drink plenty of fluids. The tablet and granule formulations must be taken with plenty of water or other fluids.
DB00375,Colestipol,Take with food.
DB00376,Trihexyphenidyl,Take with or without food. Taking with food may minimize stomach upset. May take before meals to mitigate dry mouth or may take after meals to reduce excess salivation.
DB00377,Palonosetron,Take with or without food.
DB00379,Mexiletine,Take with food. Food reduces irritation.
DB00381,Amlodipine,Avoid grapefruit products.
DB00381,Amlodipine,Avoid natural licorice.
DB00381,Amlodipine,Take with or without food. The absorption is unaffected by food.
DB00382,Tacrine,Take on an empty stomach. Take tacrine at least one hour before meals for optimal absorption.
DB00384,Triamterene,Avoid potassium-containing products. The risk of hyperkalemia can be increased with the intake of potassium supplementation or potassium-rich foods.
DB00387,Procyclidine,Take with or without food. Taking with food may reduce the adverse effects of procyclidine.
DB00390,Digoxin,Avoid multivalent ions. Calcium and aluminum containing products (including kaolin-pectin) may interfere with absorption) and digoxin administration must be separated by several hours.
DB00390,Digoxin,Avoid potassium-containing products. They may cause arrhythmias when given with digoxin.
DB00390,Digoxin,Avoid St. John's Wort. This drug can decrease digoxin levels.
DB00390,Digoxin,Do not take with bran and high fiber foods. Separate administration of bran and high fiber foods from medication by at least 2 hours.
DB00391,Sulpiride,Avoid alcohol. Alcohol enhances the sedative effects of sulpiride.
DB00393,Nimodipine,Avoid grapefruit products.
DB00393,Nimodipine,Take with or without food. Take consistently at the same time in regard to meals.
DB00395,Carisoprodol,Avoid alcohol.
DB00395,Carisoprodol,Take with or without food. The absorption is unaffected by food.
DB00396,Progesterone,Administer vitamin supplements.
DB00396,Progesterone,Avoid alcohol.
DB00396,Progesterone,Limit caffeine intake.
DB00396,Progesterone,Take at the same time every day.
DB00396,Progesterone,Take with food.
DB00397,Phenylpropanolamine,Limit caffeine intake.
DB00397,Phenylpropanolamine,Take with or without food. The absorption is unaffected by food.
DB00398,Sorafenib,"Do not take with or immediately after a high-fat meal. Take sorafenib at least 1 hour before or 2 hours after a high-fat meal, as sorafenib absorption can be reduced by a high-fat meal."
DB00398,Sorafenib,"Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum levels of sorafenib."
DB00398,Sorafenib,"Exercise caution with St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce serum levels of sorafenib."
DB00398,Sorafenib,Take on an empty stomach. Take sorafenib at least one hour before or two hours after a meal.
DB00400,Griseofulvin,Avoid alcohol.
DB00400,Griseofulvin,Take with a high fat meal.
DB00401,Nisoldipine,Avoid grapefruit products.
DB00402,Eszopiclone,Avoid alcohol.
DB00402,Eszopiclone,Do not take with or immediately after a high-fat meal. This decreases the absorption of eszopiclone.
DB00404,Alprazolam,Avoid alcohol. Alcohol may potentiate the CNS depressant effects of this drug.
DB00404,Alprazolam,Avoid grapefruit products.
DB00404,Alprazolam,Limit caffeine intake.
DB00404,Alprazolam,"Take with or without food. Food increases the Cmax of extended release alprazolam by 25%, but the AUC and half life are not affected."
DB00405,Dexbrompheniramine,Avoid alcohol. Taking with alcohol may increase drowsiness.
DB00407,Ardeparin,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include ginseng, ginkgo, ginger, and garlic."
DB00408,Loxapine,Avoid alcohol.
DB00408,Loxapine,Take with food. Food reduces irritation.
DB00412,Rosiglitazone,Take with or without food.
DB00413,Pramipexole,Take with or without food. Food decreases the risk of GI side effects.
DB00414,Acetohexamide,Avoid alcohol.
DB00414,Acetohexamide,Take with or without food. The absorption is unaffected by food.
DB00415,Ampicillin,Take on an empty stomach.
DB00417,Phenoxymethylpenicillin,Take on an empty stomach. Absorption is increased 1 hour before or 2 hours after food.
DB00418,Secobarbital,Avoid alcohol. Taking with alcohol may cause additive CNS depression.
DB00418,Secobarbital,Take on an empty stomach. This may increase the rate of absorption.
DB00419,Miglustat,Take at the same time every day.
DB00419,Miglustat,Take with or without food.
DB00420,Promazine,Avoid alcohol. Additive CNS depression may occur if alcohol is consumed.
DB00420,Promazine,Avoid antacids. The absorption of promazine may be reduced by antacid use.
DB00421,Spironolactone,Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.
DB00421,Spironolactone,Take with or without food. Food increases the bioavailability of spironolactone by approximately 95.4%. It should be taken at a consistent time in regards to food.
DB00422,Methylphenidate,"Avoid alcohol. Co-administration with alcohol may cause a ""dose-dumping"" effect with some extended-release formulations of methylphenidate. It may also potentiate the CNS effects of methylphenidate."
DB00422,Methylphenidate,Take with or without food. Patients may take methylphenidate with food to alleviate GI upset.
DB00423,Methocarbamol,Avoid alcohol.
DB00423,Methocarbamol,Take with or without food. The absorption is unaffected by food.
DB00424,Hyoscyamine,Take before a meal. Take 30-60 minutes before a meal.
DB00424,Hyoscyamine,Take separate from antacids. Take oral hyoscyamine before meals and antacids after meals.
DB00425,Zolpidem,Avoid alcohol.
DB00425,Zolpidem,Take separate from meals. This drug should not be administered with or immediately after a meal.
DB00426,Famciclovir,Take with or without food. The absorption is unaffected by food.
DB00427,Triprolidine,Avoid alcohol. Taking with alcohol may increase drowsiness.
DB00431,Lindane,Avoid excessive or chronic alcohol consumption.
DB00432,Trifluridine,Take with food.
DB00433,Prochlorperazine,Avoid alcohol. The drug may intensify or prolong the action of central nervous system depressants.
DB00434,Cyproheptadine,Avoid alcohol. Co-administration with alcohol may potentiate the sedative effects of cyproheptadine.
DB00436,Bendroflumethiazide,Take with food. Food increases bioavailability.
DB00437,Allopurinol,Avoid alcohol.
