pubmed_id,pubdate,drug,drug_entity_type,food,food_entity_type,food_component,food_component_entity_type,interaction_sentence,evidence_level,modality,drug_metabolizer,drug_transporter,well_known_target
28715867,2017,AlCl3,drug,Vitis vinifera Leaves Polyphenolic,food,,,"Treatment of AD-rats with VLP extract (100mg/kg body weight/day) improved neurobehavioral changes, as evidenced by the improvement in brain function, as well as, modulation of most biochemical markers, and confirmed by T-maze test, the histopathological study of the brain and comet assay.",animal in-vivo,positive,,,
28715867,2017,Al,drug,VLP,food,,,"Treatment of AD-rats with VLP extract (100mg/kg body weight/day) improved neurobehavioral changes, as evidenced by the improvement in brain function, as well as, modulation of most biochemical markers, and confirmed by T-maze test, the histopathological study of the brain and comet assay.",animal in-vivo,positive,,,
28715867,2017,Al,drug,Vitis vinifera Leaves Polyphenolic,food,,,"Treatment of AD-rats with VLP extract (100mg/kg body weight/day) improved neurobehavioral changes, as evidenced by the improvement in brain function, as well as, modulation of most biochemical markers, and confirmed by T-maze test, the histopathological study of the brain and comet assay.",animal in-vivo,positive,,,
28715867,2017,Aluminum,drug,VLP,food,,,"Treatment of AD-rats with VLP extract (100mg/kg body weight/day) improved neurobehavioral changes, as evidenced by the improvement in brain function, as well as, modulation of most biochemical markers, and confirmed by T-maze test, the histopathological study of the brain and comet assay.",animal in-vivo,positive,,,
28715867,2017,Aluminum,drug,Vitis vinifera Leaves Polyphenolic,food,,,"Treatment of AD-rats with VLP extract (100mg/kg body weight/day) improved neurobehavioral changes, as evidenced by the improvement in brain function, as well as, modulation of most biochemical markers, and confirmed by T-maze test, the histopathological study of the brain and comet assay.",animal in-vivo,positive,,,
28715867,2017,aluminum chloride,drug,VLP,food,,,"Treatment of AD-rats with VLP extract (100mg/kg body weight/day) improved neurobehavioral changes, as evidenced by the improvement in brain function, as well as, modulation of most biochemical markers, and confirmed by T-maze test, the histopathological study of the brain and comet assay.",animal in-vivo,positive,,,
28715867,2017,aluminum chloride,drug,Vitis vinifera Leaves Polyphenolic,food,,,"Treatment of AD-rats with VLP extract (100mg/kg body weight/day) improved neurobehavioral changes, as evidenced by the improvement in brain function, as well as, modulation of most biochemical markers, and confirmed by T-maze test, the histopathological study of the brain and comet assay.",animal in-vivo,positive,,,
16271437,2006,glutathione,drug,broccoli,food,,,Treatment of murine and human keratinocytes with the isothiocyanate sulforaphane elevated phase 2 enzymes and glutathione and protected against oxidant toxicity.,in-vitro,positive,,,iNOS; gamma-interferon
20067468,2010,prostaglandin E(2),drug,Resveratrol,food,,,"Resveratrol significantly aggravated damage from indomethacin-induced gastric ulcers, and delayed healing, as shown by increased DS and MPO activity.",animal in-vivo,positive,,,COX-2; myeloperoxidase; iNOS; eNOS; cyclooxygenase; MPO; endothelial NOS; COX
20067468,2010,prostaglandin E(2),drug,resveratrol,food,,,"Resveratrol significantly aggravated damage from indomethacin-induced gastric ulcers, and delayed healing, as shown by increased DS and MPO activity.",animal in-vivo,positive,,,COX-2; myeloperoxidase; iNOS; eNOS; cyclooxygenase; MPO; endothelial NOS; COX
20067468,2010,PGE(2),drug,Resveratrol,food,,,"Resveratrol significantly aggravated damage from indomethacin-induced gastric ulcers, and delayed healing, as shown by increased DS and MPO activity.",animal in-vivo,positive,,,COX-2; myeloperoxidase; iNOS; eNOS; cyclooxygenase; MPO; endothelial NOS; COX
20067468,2010,PGE(2),drug,resveratrol,food,,,"Resveratrol significantly aggravated damage from indomethacin-induced gastric ulcers, and delayed healing, as shown by increased DS and MPO activity.",animal in-vivo,positive,,,COX-2; myeloperoxidase; iNOS; eNOS; cyclooxygenase; MPO; endothelial NOS; COX
20067468,2010,arginine,drug,Resveratrol,food,,,"Resveratrol significantly aggravated damage from indomethacin-induced gastric ulcers, and delayed healing, as shown by increased DS and MPO activity.",animal in-vivo,positive,,,COX-2; myeloperoxidase; iNOS; eNOS; cyclooxygenase; MPO; endothelial NOS; COX
20067468,2010,arginine,drug,resveratrol,food,,,"Resveratrol significantly aggravated damage from indomethacin-induced gastric ulcers, and delayed healing, as shown by increased DS and MPO activity.",animal in-vivo,positive,,,COX-2; myeloperoxidase; iNOS; eNOS; cyclooxygenase; MPO; endothelial NOS; COX
20067468,2010,indomethacin,drug,Resveratrol,food,,,"Resveratrol significantly aggravated damage from indomethacin-induced gastric ulcers, and delayed healing, as shown by increased DS and MPO activity.",animal in-vivo,positive,,,COX-2; myeloperoxidase; iNOS; eNOS; cyclooxygenase; MPO; endothelial NOS; COX
20067468,2010,indomethacin,drug,resveratrol,food,,,"Resveratrol significantly aggravated damage from indomethacin-induced gastric ulcers, and delayed healing, as shown by increased DS and MPO activity.",animal in-vivo,positive,,,COX-2; myeloperoxidase; iNOS; eNOS; cyclooxygenase; MPO; endothelial NOS; COX
20067468,2010,NO,drug,Resveratrol,food,,,"Resveratrol significantly aggravated damage from indomethacin-induced gastric ulcers, and delayed healing, as shown by increased DS and MPO activity.",animal in-vivo,positive,,,COX-2; myeloperoxidase; iNOS; eNOS; cyclooxygenase; MPO; endothelial NOS; COX
20067468,2010,NO,drug,resveratrol,food,,,"Resveratrol significantly aggravated damage from indomethacin-induced gastric ulcers, and delayed healing, as shown by increased DS and MPO activity.",animal in-vivo,positive,,,COX-2; myeloperoxidase; iNOS; eNOS; cyclooxygenase; MPO; endothelial NOS; COX
20067468,2010,Arginine,drug,Resveratrol,food,,,"Resveratrol significantly aggravated damage from indomethacin-induced gastric ulcers, and delayed healing, as shown by increased DS and MPO activity.",animal in-vivo,positive,,,COX-2; myeloperoxidase; iNOS; eNOS; cyclooxygenase; MPO; endothelial NOS; COX
20067468,2010,Arginine,drug,resveratrol,food,,,"Resveratrol significantly aggravated damage from indomethacin-induced gastric ulcers, and delayed healing, as shown by increased DS and MPO activity.",animal in-vivo,positive,,,COX-2; myeloperoxidase; iNOS; eNOS; cyclooxygenase; MPO; endothelial NOS; COX
19732471,2010,DCA,drug,Wheat,food,,,"In conclusion, fermentation of wheat aleurone results in a reduced level of tumour-promoting DCA, but higher levels of potentially chemopreventive SCFA.",in-vitro,positive,,,
19732471,2010,DCA,drug,wheat,food,,,"In conclusion, fermentation of wheat aleurone results in a reduced level of tumour-promoting DCA, but higher levels of potentially chemopreventive SCFA.",in-vitro,positive,,,
19732471,2010,deoxycholic acid,drug,Wheat,food,,,"In conclusion, fermentation of wheat aleurone results in a reduced level of tumour-promoting DCA, but higher levels of potentially chemopreventive SCFA.",in-vitro,positive,,,
19732471,2010,deoxycholic acid,drug,wheat,food,,,"In conclusion, fermentation of wheat aleurone results in a reduced level of tumour-promoting DCA, but higher levels of potentially chemopreventive SCFA.",in-vitro,positive,,,
18983991,2009,STZ,drug,Momordica charantia,food,,,The hypoglycaemic effect observed with combination of rosiglitazone and MC was significantly more compared to either of the drugs given alone.,animal in-vivo,positive,,,
18983991,2009,STZ,drug,MC,food,,,The hypoglycaemic effect observed with combination of rosiglitazone and MC was significantly more compared to either of the drugs given alone.,animal in-vivo,positive,,,
18983991,2009,rosiglitazone,drug,Momordica charantia,food,,,The hypoglycaemic effect observed with combination of rosiglitazone and MC was significantly more compared to either of the drugs given alone.,animal in-vivo,positive,,,
18983991,2009,rosiglitazone,drug,MC,food,,,The hypoglycaemic effect observed with combination of rosiglitazone and MC was significantly more compared to either of the drugs given alone.,animal in-vivo,positive,,,
18983991,2009,Rosiglitazone,drug,Momordica charantia,food,,,The hypoglycaemic effect observed with combination of rosiglitazone and MC was significantly more compared to either of the drugs given alone.,animal in-vivo,positive,,,
18983991,2009,Rosiglitazone,drug,MC,food,,,The hypoglycaemic effect observed with combination of rosiglitazone and MC was significantly more compared to either of the drugs given alone.,animal in-vivo,positive,,,
18983991,2009,streptozotocin,drug,Momordica charantia,food,,,The hypoglycaemic effect observed with combination of rosiglitazone and MC was significantly more compared to either of the drugs given alone.,animal in-vivo,positive,,,
18983991,2009,streptozotocin,drug,MC,food,,,The hypoglycaemic effect observed with combination of rosiglitazone and MC was significantly more compared to either of the drugs given alone.,animal in-vivo,positive,,,
463946,,warfarin,drug,wine,food,,,It is concluded that 10 and even 20 oz of daily mealtime wine has no effect on therapeutic hypoprothrombinemia.,Case report,positive,,,
20813795,2011,Methotrexate,drug,Nigella sativa,food,,,We suggest that thymoquinone use may decrease the destructive effects of methotrexate on testicular tissue of patients using this ag,animal in-vivo,positive,,,
20813795,2011,Methotrexate,drug,thymoquinone,food,,,We suggest that thymoquinone use may decrease the destructive effects of methotrexate on testicular tissue of patients using this ag,animal in-vivo,positive,,,
20813795,2011,Methotrexate,drug,Thymoquinone,food,,,We suggest that thymoquinone use may decrease the destructive effects of methotrexate on testicular tissue of patients using this ag,animal in-vivo,positive,,,
20813795,2011,methotrexate,drug,Nigella sativa,food,,,We suggest that thymoquinone use may decrease the destructive effects of methotrexate on testicular tissue of patients using this ag,animal in-vivo,positive,,,
20813795,2011,methotrexate,drug,thymoquinone,food,,,We suggest that thymoquinone use may decrease the destructive effects of methotrexate on testicular tissue of patients using this ag,animal in-vivo,positive,,,
20813795,2011,methotrexate,drug,Thymoquinone,food,,,We suggest that thymoquinone use may decrease the destructive effects of methotrexate on testicular tissue of patients using this ag,animal in-vivo,positive,,,
30275799,2018,chloramphenicol,drug,T. cacao,food,,,"Some tested extracts included extracts from the leaves of T. cacao and P. vulgaris, and the seeds of D. edulis and barks A. indica has selectively improved (2- to 64-fold) the antibacterial activities of some of the tested antibiotics, chloramphenicol (CHL), tetracycline (TET), kanamycin (KAN), streptomycin (STR), and erythromycin (ERY), against more than 70% of tested MDR bacteria",in-vitro,positive,,,
30275799,2018,chloramphenicol,drug,Uapaca guineensis,food,,,"Some tested extracts included extracts from the leaves of T. cacao and P. vulgaris, and the seeds of D. edulis and barks A. indica has selectively improved (2- to 64-fold) the antibacterial activities of some of the tested antibiotics, chloramphenicol (CHL), tetracycline (TET), kanamycin (KAN), streptomycin (STR), and erythromycin (ERY), against more than 70% of tested MDR bacteria",in-vitro,positive,,,
30275799,2018,chloramphenicol,drug,P. vulgaris,food,,,"Some tested extracts included extracts from the leaves of T. cacao and P. vulgaris, and the seeds of D. edulis and barks A. indica has selectively improved (2- to 64-fold) the antibacterial activities of some of the tested antibiotics, chloramphenicol (CHL), tetracycline (TET), kanamycin (KAN), streptomycin (STR), and erythromycin (ERY), against more than 70% of tested MDR bacteria",in-vitro,positive,,,
30275799,2018,chloramphenicol,drug,A. indica,food,,,"Some tested extracts included extracts from the leaves of T. cacao and P. vulgaris, and the seeds of D. edulis and barks A. indica has selectively improved (2- to 64-fold) the antibacterial activities of some of the tested antibiotics, chloramphenicol (CHL), tetracycline (TET), kanamycin (KAN), streptomycin (STR), and erythromycin (ERY), against more than 70% of tested MDR bacteria",in-vitro,positive,,,
30275799,2018,chloramphenicol,drug,Theobroma cacao,food,,,"Some tested extracts included extracts from the leaves of T. cacao and P. vulgaris, and the seeds of D. edulis and barks A. indica has selectively improved (2- to 64-fold) the antibacterial activities of some of the tested antibiotics, chloramphenicol (CHL), tetracycline (TET), kanamycin (KAN), streptomycin (STR), and erythromycin (ERY), against more than 70% of tested MDR bacteria",in-vitro,positive,,,
30275799,2018,chloramphenicol,drug,D. edulis,food,,,"Some tested extracts included extracts from the leaves of T. cacao and P. vulgaris, and the seeds of D. edulis and barks A. indica has selectively improved (2- to 64-fold) the antibacterial activities of some of the tested antibiotics, chloramphenicol (CHL), tetracycline (TET), kanamycin (KAN), streptomycin (STR), and erythromycin (ERY), against more than 70% of tested MDR bacteria",in-vitro,positive,,,
30275799,2018,chloramphenicol,drug,Phaseolus vulgaris,food,,,"Some tested extracts included extracts from the leaves of T. cacao and P. vulgaris, and the seeds of D. edulis and barks A. indica has selectively improved (2- to 64-fold) the antibacterial activities of some of the tested antibiotics, chloramphenicol (CHL), tetracycline (TET), kanamycin (KAN), streptomycin (STR), and erythromycin (ERY), against more than 70% of tested MDR bacteria",in-vitro,positive,,,
30275799,2018,tetracycline,drug,T. cacao,food,,,"Some tested extracts included extracts from the leaves of T. cacao and P. vulgaris, and the seeds of D. edulis and barks A. indica has selectively improved (2- to 64-fold) the antibacterial activities of some of the tested antibiotics, chloramphenicol (CHL), tetracycline (TET), kanamycin (KAN), streptomycin (STR), and erythromycin (ERY), against more than 70% of tested MDR bacteria",in-vitro,positive,,,
30275799,2018,tetracycline,drug,Uapaca guineensis,food,,,"Some tested extracts included extracts from the leaves of T. cacao and P. vulgaris, and the seeds of D. edulis and barks A. indica has selectively improved (2- to 64-fold) the antibacterial activities of some of the tested antibiotics, chloramphenicol (CHL), tetracycline (TET), kanamycin (KAN), streptomycin (STR), and erythromycin (ERY), against more than 70% of tested MDR bacteria",in-vitro,positive,,,
30275799,2018,tetracycline,drug,P. vulgaris,food,,,"Some tested extracts included extracts from the leaves of T. cacao and P. vulgaris, and the seeds of D. edulis and barks A. indica has selectively improved (2- to 64-fold) the antibacterial activities of some of the tested antibiotics, chloramphenicol (CHL), tetracycline (TET), kanamycin (KAN), streptomycin (STR), and erythromycin (ERY), against more than 70% of tested MDR bacteria",in-vitro,positive,,,
30275799,2018,tetracycline,drug,A. indica,food,,,"Some tested extracts included extracts from the leaves of T. cacao and P. vulgaris, and the seeds of D. edulis and barks A. indica has selectively improved (2- to 64-fold) the antibacterial activities of some of the tested antibiotics, chloramphenicol (CHL), tetracycline (TET), kanamycin (KAN), streptomycin (STR), and erythromycin (ERY), against more than 70% of tested MDR bacteria",in-vitro,positive,,,
30275799,2018,tetracycline,drug,Theobroma cacao,food,,,"Some tested extracts included extracts from the leaves of T. cacao and P. vulgaris, and the seeds of D. edulis and barks A. indica has selectively improved (2- to 64-fold) the antibacterial activities of some of the tested antibiotics, chloramphenicol (CHL), tetracycline (TET), kanamycin (KAN), streptomycin (STR), and erythromycin (ERY), against more than 70% of tested MDR bacteria",in-vitro,positive,,,
30275799,2018,tetracycline,drug,D. edulis,food,,,"Some tested extracts included extracts from the leaves of T. cacao and P. vulgaris, and the seeds of D. edulis and barks A. indica has selectively improved (2- to 64-fold) the antibacterial activities of some of the tested antibiotics, chloramphenicol (CHL), tetracycline (TET), kanamycin (KAN), streptomycin (STR), and erythromycin (ERY), against more than 70% of tested MDR bacteria",in-vitro,positive,,,
30275799,2018,tetracycline,drug,Phaseolus vulgaris,food,,,"Some tested extracts included extracts from the leaves of T. cacao and P. vulgaris, and the seeds of D. edulis and barks A. indica has selectively improved (2- to 64-fold) the antibacterial activities of some of the tested antibiotics, chloramphenicol (CHL), tetracycline (TET), kanamycin (KAN), streptomycin (STR), and erythromycin (ERY), against more than 70% of tested MDR bacteria",in-vitro,positive,,,
30275799,2018,erythromycin,drug,T. cacao,food,,,"Some tested extracts included extracts from the leaves of T. cacao and P. vulgaris, and the seeds of D. edulis and barks A. indica has selectively improved (2- to 64-fold) the antibacterial activities of some of the tested antibiotics, chloramphenicol (CHL), tetracycline (TET), kanamycin (KAN), streptomycin (STR), and erythromycin (ERY), against more than 70% of tested MDR bacteria",in-vitro,positive,,,
30275799,2018,erythromycin,drug,Uapaca guineensis,food,,,"Some tested extracts included extracts from the leaves of T. cacao and P. vulgaris, and the seeds of D. edulis and barks A. indica has selectively improved (2- to 64-fold) the antibacterial activities of some of the tested antibiotics, chloramphenicol (CHL), tetracycline (TET), kanamycin (KAN), streptomycin (STR), and erythromycin (ERY), against more than 70% of tested MDR bacteria",in-vitro,positive,,,
30275799,2018,erythromycin,drug,P. vulgaris,food,,,"Some tested extracts included extracts from the leaves of T. cacao and P. vulgaris, and the seeds of D. edulis and barks A. indica has selectively improved (2- to 64-fold) the antibacterial activities of some of the tested antibiotics, chloramphenicol (CHL), tetracycline (TET), kanamycin (KAN), streptomycin (STR), and erythromycin (ERY), against more than 70% of tested MDR bacteria",in-vitro,positive,,,
30275799,2018,erythromycin,drug,A. indica,food,,,"Some tested extracts included extracts from the leaves of T. cacao and P. vulgaris, and the seeds of D. edulis and barks A. indica has selectively improved (2- to 64-fold) the antibacterial activities of some of the tested antibiotics, chloramphenicol (CHL), tetracycline (TET), kanamycin (KAN), streptomycin (STR), and erythromycin (ERY), against more than 70% of tested MDR bacteria",in-vitro,positive,,,
30275799,2018,erythromycin,drug,Theobroma cacao,food,,,"Some tested extracts included extracts from the leaves of T. cacao and P. vulgaris, and the seeds of D. edulis and barks A. indica has selectively improved (2- to 64-fold) the antibacterial activities of some of the tested antibiotics, chloramphenicol (CHL), tetracycline (TET), kanamycin (KAN), streptomycin (STR), and erythromycin (ERY), against more than 70% of tested MDR bacteria",in-vitro,positive,,,
30275799,2018,erythromycin,drug,D. edulis,food,,,"Some tested extracts included extracts from the leaves of T. cacao and P. vulgaris, and the seeds of D. edulis and barks A. indica has selectively improved (2- to 64-fold) the antibacterial activities of some of the tested antibiotics, chloramphenicol (CHL), tetracycline (TET), kanamycin (KAN), streptomycin (STR), and erythromycin (ERY), against more than 70% of tested MDR bacteria",in-vitro,positive,,,
30275799,2018,erythromycin,drug,Phaseolus vulgaris,food,,,"Some tested extracts included extracts from the leaves of T. cacao and P. vulgaris, and the seeds of D. edulis and barks A. indica has selectively improved (2- to 64-fold) the antibacterial activities of some of the tested antibiotics, chloramphenicol (CHL), tetracycline (TET), kanamycin (KAN), streptomycin (STR), and erythromycin (ERY), against more than 70% of tested MDR bacteria",in-vitro,positive,,,
30275799,2018,streptomycin,drug,T. cacao,food,,,"Some tested extracts included extracts from the leaves of T. cacao and P. vulgaris, and the seeds of D. edulis and barks A. indica has selectively improved (2- to 64-fold) the antibacterial activities of some of the tested antibiotics, chloramphenicol (CHL), tetracycline (TET), kanamycin (KAN), streptomycin (STR), and erythromycin (ERY), against more than 70% of tested MDR bacteria",in-vitro,positive,,,
30275799,2018,streptomycin,drug,Uapaca guineensis,food,,,"Some tested extracts included extracts from the leaves of T. cacao and P. vulgaris, and the seeds of D. edulis and barks A. indica has selectively improved (2- to 64-fold) the antibacterial activities of some of the tested antibiotics, chloramphenicol (CHL), tetracycline (TET), kanamycin (KAN), streptomycin (STR), and erythromycin (ERY), against more than 70% of tested MDR bacteria",in-vitro,positive,,,
30275799,2018,streptomycin,drug,P. vulgaris,food,,,"Some tested extracts included extracts from the leaves of T. cacao and P. vulgaris, and the seeds of D. edulis and barks A. indica has selectively improved (2- to 64-fold) the antibacterial activities of some of the tested antibiotics, chloramphenicol (CHL), tetracycline (TET), kanamycin (KAN), streptomycin (STR), and erythromycin (ERY), against more than 70% of tested MDR bacteria",in-vitro,positive,,,
30275799,2018,streptomycin,drug,A. indica,food,,,"Some tested extracts included extracts from the leaves of T. cacao and P. vulgaris, and the seeds of D. edulis and barks A. indica has selectively improved (2- to 64-fold) the antibacterial activities of some of the tested antibiotics, chloramphenicol (CHL), tetracycline (TET), kanamycin (KAN), streptomycin (STR), and erythromycin (ERY), against more than 70% of tested MDR bacteria",in-vitro,positive,,,
30275799,2018,streptomycin,drug,Theobroma cacao,food,,,"Some tested extracts included extracts from the leaves of T. cacao and P. vulgaris, and the seeds of D. edulis and barks A. indica has selectively improved (2- to 64-fold) the antibacterial activities of some of the tested antibiotics, chloramphenicol (CHL), tetracycline (TET), kanamycin (KAN), streptomycin (STR), and erythromycin (ERY), against more than 70% of tested MDR bacteria",in-vitro,positive,,,
30275799,2018,streptomycin,drug,D. edulis,food,,,"Some tested extracts included extracts from the leaves of T. cacao and P. vulgaris, and the seeds of D. edulis and barks A. indica has selectively improved (2- to 64-fold) the antibacterial activities of some of the tested antibiotics, chloramphenicol (CHL), tetracycline (TET), kanamycin (KAN), streptomycin (STR), and erythromycin (ERY), against more than 70% of tested MDR bacteria",in-vitro,positive,,,
30275799,2018,streptomycin,drug,Phaseolus vulgaris,food,,,"Some tested extracts included extracts from the leaves of T. cacao and P. vulgaris, and the seeds of D. edulis and barks A. indica has selectively improved (2- to 64-fold) the antibacterial activities of some of the tested antibiotics, chloramphenicol (CHL), tetracycline (TET), kanamycin (KAN), streptomycin (STR), and erythromycin (ERY), against more than 70% of tested MDR bacteria",in-vitro,positive,,,
30275799,2018,kanamycin,drug,T. cacao,food,,,"Some tested extracts included extracts from the leaves of T. cacao and P. vulgaris, and the seeds of D. edulis and barks A. indica has selectively improved (2- to 64-fold) the antibacterial activities of some of the tested antibiotics, chloramphenicol (CHL), tetracycline (TET), kanamycin (KAN), streptomycin (STR), and erythromycin (ERY), against more than 70% of tested MDR bacteria",in-vitro,positive,,,
30275799,2018,kanamycin,drug,Uapaca guineensis,food,,,"Some tested extracts included extracts from the leaves of T. cacao and P. vulgaris, and the seeds of D. edulis and barks A. indica has selectively improved (2- to 64-fold) the antibacterial activities of some of the tested antibiotics, chloramphenicol (CHL), tetracycline (TET), kanamycin (KAN), streptomycin (STR), and erythromycin (ERY), against more than 70% of tested MDR bacteria",in-vitro,positive,,,
30275799,2018,kanamycin,drug,P. vulgaris,food,,,"Some tested extracts included extracts from the leaves of T. cacao and P. vulgaris, and the seeds of D. edulis and barks A. indica has selectively improved (2- to 64-fold) the antibacterial activities of some of the tested antibiotics, chloramphenicol (CHL), tetracycline (TET), kanamycin (KAN), streptomycin (STR), and erythromycin (ERY), against more than 70% of tested MDR bacteria",in-vitro,positive,,,
30275799,2018,kanamycin,drug,A. indica,food,,,"Some tested extracts included extracts from the leaves of T. cacao and P. vulgaris, and the seeds of D. edulis and barks A. indica has selectively improved (2- to 64-fold) the antibacterial activities of some of the tested antibiotics, chloramphenicol (CHL), tetracycline (TET), kanamycin (KAN), streptomycin (STR), and erythromycin (ERY), against more than 70% of tested MDR bacteria",in-vitro,positive,,,
30275799,2018,kanamycin,drug,Theobroma cacao,food,,,"Some tested extracts included extracts from the leaves of T. cacao and P. vulgaris, and the seeds of D. edulis and barks A. indica has selectively improved (2- to 64-fold) the antibacterial activities of some of the tested antibiotics, chloramphenicol (CHL), tetracycline (TET), kanamycin (KAN), streptomycin (STR), and erythromycin (ERY), against more than 70% of tested MDR bacteria",in-vitro,positive,,,
30275799,2018,kanamycin,drug,D. edulis,food,,,"Some tested extracts included extracts from the leaves of T. cacao and P. vulgaris, and the seeds of D. edulis and barks A. indica has selectively improved (2- to 64-fold) the antibacterial activities of some of the tested antibiotics, chloramphenicol (CHL), tetracycline (TET), kanamycin (KAN), streptomycin (STR), and erythromycin (ERY), against more than 70% of tested MDR bacteria",in-vitro,positive,,,
30275799,2018,kanamycin,drug,Phaseolus vulgaris,food,,,"Some tested extracts included extracts from the leaves of T. cacao and P. vulgaris, and the seeds of D. edulis and barks A. indica has selectively improved (2- to 64-fold) the antibacterial activities of some of the tested antibiotics, chloramphenicol (CHL), tetracycline (TET), kanamycin (KAN), streptomycin (STR), and erythromycin (ERY), against more than 70% of tested MDR bacteria",in-vitro,positive,,,
26066525,2016,5-fluorouracil,drug,zinc,food,,,"Compared with the placebo group, the zinc group presented higher SOD values before the first, second, and fourth chemotherapy cycles and lower GPx values before the third cycle.",RCTs,positive,SOD; superoxide dismutase,,GPx; glutathione peroxidase
26066525,2016,5-fluorouracil,drug,Zinc,food,,,"Compared with the placebo group, the zinc group presented higher SOD values before the first, second, and fourth chemotherapy cycles and lower GPx values before the third cycle.",RCTs,positive,SOD; superoxide dismutase,,GPx; glutathione peroxidase
26066525,2016,capecitabine,drug,zinc,food,,,"Compared with the placebo group, the zinc group presented higher SOD values before the first, second, and fourth chemotherapy cycles and lower GPx values before the third cycle.",RCTs,positive,SOD; superoxide dismutase,,GPx; glutathione peroxidase
26066525,2016,capecitabine,drug,Zinc,food,,,"Compared with the placebo group, the zinc group presented higher SOD values before the first, second, and fourth chemotherapy cycles and lower GPx values before the third cycle.",RCTs,positive,SOD; superoxide dismutase,,GPx; glutathione peroxidase
26066525,2016,oxaliplatin,drug,zinc,food,,,"Compared with the placebo group, the zinc group presented higher SOD values before the first, second, and fourth chemotherapy cycles and lower GPx values before the third cycle.",RCTs,positive,SOD; superoxide dismutase,,GPx; glutathione peroxidase
26066525,2016,oxaliplatin,drug,Zinc,food,,,"Compared with the placebo group, the zinc group presented higher SOD values before the first, second, and fourth chemotherapy cycles and lower GPx values before the third cycle.",RCTs,positive,SOD; superoxide dismutase,,GPx; glutathione peroxidase
